id,name,category,type,parent_id,description
org_gov_fed_01,Federal Ministry of Health,government,federal,,"The Federal Ministry of Health is responsible for national health policy, coordination of health services across states, and implementation of federal health programs."
org_gov_state_01,Lagos State Ministry of Health,government,state,org_gov_fed_01,"Lagos State Ministry of Health oversees health services delivery across Lagos State, implementing state-level health programs and coordinating with local government areas."
org_gov_lga_01,Ikeja Local Government Area Primary Healthcare,government,local,org_gov_state_01,"Ikeja LGA Primary Healthcare Centre provides primary healthcare services to residents of Ikeja Local Government Area, including immunization, maternal health, and community outreach programs."
org_ngo_fed_01,HealthForAll Foundation,nonprofit,federal,,"HealthForAll Foundation is a national NGO focused on improving healthcare access in underserved communities through health education, capacity building, and direct service delivery."
org_ngo_state_01,HealthForAll Foundation - Kano Regional Office,nonprofit,state,org_ngo_fed_01,"The Kano Regional Office coordinates HealthForAll Foundation programs across Northern Nigeria, focusing on maternal and child health, malaria prevention, and community health worker training."
org_cso_state_01,Community Action for Health - Rivers State,civil_service,state,,"Community Action for Health is a grassroots civil society organization in Rivers State that advocates for improved healthcare services and conducts community-based health awareness campaigns."
org_intl_global_01,Global Health Initiative,nonprofit,federal,,"Global Health Initiative is an international health organization working across multiple regions to improve health outcomes, strengthen health systems, and respond to global health challenges."
org_intl_africa_01,Global Health Initiative - Africa Regional Office,nonprofit,state,org_intl_global_01,"The Africa Regional Office coordinates GHI programs across Sub-Saharan Africa, focusing on infectious disease control, maternal and child health, and health system strengthening."
org_intl_asia_01,Global Health Initiative - Asia Regional Office,nonprofit,state,org_intl_global_01,"The Asia Regional Office manages GHI programs across South and Southeast Asia, addressing health challenges specific to the region including nutrition, immunization, and health equity."
org_uk_nat_01,UK National Health Coordination Office,government,federal,,"The UK National Health Coordination Office oversees health policy coordination, public health initiatives, and cross-sector health partnerships at the national level in the United Kingdom."
org_kenya_nat_01,Kenya Ministry of Health,government,federal,,"The Kenya Ministry of Health is responsible for national health policy, health service delivery coordination, and implementation of health programs across all counties in Kenya."

