id,name,category,type,parent_id,description
org_gov_fed_01,Federal Ministry of Health,government,federal,,"The Federal Ministry of Health is responsible for national health policy, coordination of health services across states, and implementation of federal health programs."
org_gov_state_01,Lagos State Ministry of Health,government,state,org_gov_fed_01,"Lagos State Ministry of Health oversees health services delivery across Lagos State, implementing state-level health programs and coordinating with local government areas."
org_gov_state_02,Kano State Ministry of Health,government,state,org_gov_fed_01,"Kano State Ministry of Health manages health services across Kano State, focusing on primary healthcare, disease prevention, and health system strengthening."
org_gov_lga_01,Ikeja Local Government Area Primary Healthcare,government,local,org_gov_state_01,"Ikeja LGA Primary Healthcare Centre provides primary healthcare services to residents of Ikeja Local Government Area, including immunization, maternal health, and community outreach programs."
org_gov_lga_02,Dala Local Government Area Health Department,government,local,org_gov_state_02,"Dala LGA Health Department delivers primary healthcare services to Dala LGA residents, with focus on maternal and child health, immunization, and community health programs."
org_ngo_fed_01,HealthForAll Foundation,nonprofit,federal,,"HealthForAll Foundation is a national NGO focused on improving healthcare access in underserved communities through health education, capacity building, and direct service delivery."
org_ngo_state_01,HealthForAll Foundation - Kano Regional Office,nonprofit,state,org_ngo_fed_01,"The Kano Regional Office coordinates HealthForAll Foundation programs across Northern Nigeria, focusing on maternal and child health, malaria prevention, and community health worker training."
org_ngo_state_02,HealthForAll Foundation - Lagos Regional Office,nonprofit,state,org_ngo_fed_01,"The Lagos Regional Office manages HealthForAll Foundation programs in South-West Nigeria, focusing on urban health, adolescent health, and health system strengthening."
org_cso_state_01,Community Action for Health - Rivers State,civil_service,state,,"Community Action for Health is a grassroots civil society organization in Rivers State that advocates for improved healthcare services and conducts community-based health awareness campaigns."
org_cso_state_02,Youth Health Advocates - Abuja,civil_service,state,,"A youth-led civil society organization in Abuja focusing on adolescent and youth health advocacy, peer education, and community mobilization for health rights."
org_intl_global_01,Global Health Initiative,nonprofit,federal,,"Global Health Initiative is an international health organization working across multiple regions to improve health outcomes, strengthen health systems, and respond to global health challenges."
org_intl_africa_01,Global Health Initiative - Africa Regional Office,nonprofit,state,org_intl_global_01,"The Africa Regional Office coordinates GHI programs across Sub-Saharan Africa, focusing on infectious disease control, maternal and child health, and health system strengthening."
org_intl_africa_02,GHI - Nigeria Country Office,nonprofit,local,org_intl_africa_01,"GHI Nigeria Country Office implements programs across Nigeria, working with federal and state health ministries, NGOs, and communities to improve health outcomes."
org_intl_africa_03,GHI - Kenya Country Office,nonprofit,local,org_intl_africa_01,"GHI Kenya Country Office manages health programs in Kenya, focusing on maternal health, immunization, and health system strengthening in partnership with the Ministry of Health."
org_intl_africa_04,GHI - Ghana Country Office,nonprofit,local,org_intl_africa_01,"GHI Ghana Country Office implements health programs across Ghana, with focus on malaria prevention, nutrition, and community health worker training."
org_intl_asia_01,Global Health Initiative - Asia Regional Office,nonprofit,state,org_intl_global_01,"The Asia Regional Office manages GHI programs across South and Southeast Asia, addressing health challenges specific to the region including nutrition, immunization, and health equity."
org_intl_asia_02,GHI - India Country Office,nonprofit,local,org_intl_asia_01,"GHI India Country Office implements large-scale health programs across multiple states in India, focusing on maternal and child health, immunization, and health system strengthening."
org_intl_asia_03,GHI - Bangladesh Country Office,nonprofit,local,org_intl_asia_01,"GHI Bangladesh Country Office manages health programs focusing on nutrition, maternal health, and infectious disease control in partnership with the government and local NGOs."
org_uk_nat_01,UK National Health Coordination Office,government,federal,,"The UK National Health Coordination Office oversees health policy coordination, public health initiatives, and cross-sector health partnerships at the national level in the United Kingdom."
org_uk_regional_01,UK Health Services - North West England,government,state,org_uk_nat_01,"North West England Health Services coordinates health service delivery across Greater Manchester, Lancashire, and Merseyside, implementing regional health strategies and programs."
org_uk_regional_02,UK Health Services - London and South East,government,state,org_uk_nat_01,"London and South East Health Services manages health programs across London, Kent, Surrey, and Sussex, focusing on urban health challenges and health inequalities."
org_kenya_nat_01,Kenya Ministry of Health,government,federal,,"The Kenya Ministry of Health is responsible for national health policy, health service delivery coordination, and implementation of health programs across all counties in Kenya."
org_kenya_county_01,Kenya MOH - Nairobi County,government,state,org_kenya_nat_01,"Nairobi County Health Department implements health programs across Nairobi County, focusing on urban health, disease prevention, and health service delivery in informal settlements."
org_kenya_county_02,Kenya MOH - Kisumu County,government,state,org_kenya_nat_01,"Kisumu County Health Department manages health services across Kisumu County, with focus on maternal and child health, HIV/AIDS prevention, and community health programs."
org_standalone_01,Independent Health Research Institute,nonprofit,federal,,"An independent research institute conducting health research and policy analysis, not affiliated with any parent organization. Represents a standalone organization edge case."
org_standalone_02,Community Health Volunteers Network,civil_service,state,,"A network of community health volunteers operating independently across multiple states, representing a grassroots movement without formal organizational hierarchy."

